Symnbol,PB,PE,BVPS,EPS
APC,0.34,-5.11,"29,971","-1,986"
MWG,2.37,79.21,"15,911",476
FRT,6.60,-71.67,"13,178","-1,214"
DGW,2.64,16.58,"15,900","2,536"
PSD,1.15,11.04,"13,707","1,431"
PNJ,2.50,12.12,"28,771","5,941"
FPT,3.71,15.48,"22,365","5,362"
ELC,1.22,29.04,"16,206",678
VGI,2.59,-27.76,"9,828",-917
FOX,1.69,6.41,"26,594","7,022"
CMG,2.02,19.36,"21,514","2,246"
CTR,4.46,16.37,"15,954","4,345"
GLT,1.15,13.77,"16,516","1,380"
TTN,0.61,10.44,"11,672",686
VNM,3.88,17.28,"17,541","3,935"
MCM,1.73,11.32,"21,458","3,288"
VLC,0.55,17.01,"25,420",826
MSN,2.19,101.70,"26,609",572
MCH,2.26,8.18,"33,645","9,294"
KDC,2.01,37.93,"31,612","1,674"
HHC,3,31.52,"34,520","3,283"
BBC,0.73,15.21,"71,591","3,419"
HNF,1.64,15.75,"17,848","1,860"
BNA,0.52,6.48,"17,718","1,419"
GCF,0.98,11.98,"12,202","1,002"
PAN,0.50,12.53,"34,907","1,396"
DBC,0.94,-72.10,"19,255",-250
VSN,1.42,14.11,"15,692","1,580"
BAF,1.70,54.99,"13,511",417
